datetime_utc,id,datetime_utc,user_id,slack_conversation_read_count,slack_user_event_count,google_calendar_event_id,google_calendar_event_count,focused_work_period_start
2020-03-01 05:00:00,1330526,2020-03-01 05:00:00,12,0,0,,0,
2020-03-01 05:05:00,1330527,2020-03-01 05:05:00,12,0,0,,0,
2020-03-01 05:10:00,1330528,2020-03-01 05:10:00,12,0,0,,0,
2020-03-01 05:15:00,1330529,2020-03-01 05:15:00,12,0,0,,0,
2020-03-01 05:20:00,1339169,2020-03-01 05:20:00,12,0,0,,0,
2020-03-01 05:25:00,1339170,2020-03-01 05:25:00,12,0,0,,0,
2020-03-01 05:30:00,1339171,2020-03-01 05:30:00,12,1,3,,0,2020-03-01 05:20:00
2020-03-01 05:35:00,1339172,2020-03-01 05:35:00,12,2,5,,0,
2020-03-01 05:40:00,1347812,2020-03-01 05:40:00,12,1,2,,0,
2020-03-01 05:45:00,1347813,2020-03-01 05:45:00,12,1,1,,0,
2020-03-01 05:50:00,1347814,2020-03-01 05:50:00,12,0,0,,0,
2020-03-01 05:55:00,1347815,2020-03-01 05:55:00,12,0,0,,0,
2020-03-01 06:00:00,1356455,2020-03-01 06:00:00,12,0,0,,0,
2020-03-01 06:05:00,1356456,2020-03-01 06:05:00,12,0,0,,0,
2020-03-01 06:10:00,1356457,2020-03-01 06:10:00,12,0,0,,0,
2020-03-01 06:15:00,1356458,2020-03-01 06:15:00,12,0,0,,0,
2020-03-01 06:20:00,1365098,2020-03-01 06:20:00,12,0,0,,0,
2020-03-01 06:25:00,1365099,2020-03-01 06:25:00,12,0,0,,0,
2020-03-01 06:30:00,1365100,2020-03-01 06:30:00,12,0,0,,0,
2020-03-01 06:35:00,1365101,2020-03-01 06:35:00,12,0,0,,0,
2020-03-01 06:40:00,1373741,2020-03-01 06:40:00,12,0,0,,0,
2020-03-01 06:45:00,1373742,2020-03-01 06:45:00,12,0,0,,0,
2020-03-01 06:50:00,1373743,2020-03-01 06:50:00,12,0,0,,0,
2020-03-01 06:55:00,1373744,2020-03-01 06:55:00,12,0,0,,0,
2020-03-01 07:00:00,1382384,2020-03-01 07:00:00,12,0,0,,0,
2020-03-01 07:05:00,1382385,2020-03-01 07:05:00,12,0,0,,0,
2020-03-01 07:10:00,1382386,2020-03-01 07:10:00,12,0,0,,0,
2020-03-01 07:15:00,1382387,2020-03-01 07:15:00,12,0,0,,0,
2020-03-01 07:20:00,1391027,2020-03-01 07:20:00,12,0,0,,0,
2020-03-01 07:25:00,1391028,2020-03-01 07:25:00,12,0,0,,0,
2020-03-01 07:30:00,1391029,2020-03-01 07:30:00,12,0,0,,0,
2020-03-01 07:35:00,1391030,2020-03-01 07:35:00,12,0,0,,0,
2020-03-01 07:40:00,1399670,2020-03-01 07:40:00,12,0,0,,0,
2020-03-01 07:45:00,1399671,2020-03-01 07:45:00,12,0,0,,0,
2020-03-01 07:50:00,1399672,2020-03-01 07:50:00,12,0,0,,0,
2020-03-01 07:55:00,1399673,2020-03-01 07:55:00,12,0,0,,0,
2020-03-01 08:00:00,1408313,2020-03-01 08:00:00,12,0,0,,0,
2020-03-01 08:05:00,1408314,2020-03-01 08:05:00,12,0,0,,0,
2020-03-01 08:10:00,1408315,2020-03-01 08:10:00,12,0,0,,0,
2020-03-01 08:15:00,1408316,2020-03-01 08:15:00,12,0,0,,0,
2020-03-01 08:20:00,1416956,2020-03-01 08:20:00,12,0,0,,0,
2020-03-01 08:25:00,1416957,2020-03-01 08:25:00,12,0,0,,0,
2020-03-01 08:30:00,1416958,2020-03-01 08:30:00,12,0,0,,0,
2020-03-01 08:35:00,1416959,2020-03-01 08:35:00,12,0,0,,0,
2020-03-01 08:40:00,1425599,2020-03-01 08:40:00,12,0,0,,0,
2020-03-01 08:45:00,1425600,2020-03-01 08:45:00,12,0,0,,0,
2020-03-01 08:50:00,1425601,2020-03-01 08:50:00,12,0,0,,0,
2020-03-01 08:55:00,1425602,2020-03-01 08:55:00,12,0,0,,0,
2020-03-01 09:00:00,1434242,2020-03-01 09:00:00,12,0,0,,0,
2020-03-01 09:05:00,1434243,2020-03-01 09:05:00,12,0,0,,0,
2020-03-01 09:10:00,1434244,2020-03-01 09:10:00,12,0,0,,0,
2020-03-01 09:15:00,1434245,2020-03-01 09:15:00,12,0,0,,0,
2020-03-01 09:20:00,1442885,2020-03-01 09:20:00,12,0,0,,0,
2020-03-01 09:25:00,1442886,2020-03-01 09:25:00,12,0,0,,0,
2020-03-01 09:30:00,1442887,2020-03-01 09:30:00,12,0,0,,0,
2020-03-01 09:35:00,1442888,2020-03-01 09:35:00,12,0,0,,0,
2020-03-01 09:40:00,1451528,2020-03-01 09:40:00,12,0,0,,0,
2020-03-01 09:45:00,1451529,2020-03-01 09:45:00,12,0,0,,0,
2020-03-01 09:50:00,1451530,2020-03-01 09:50:00,12,0,0,,0,
2020-03-01 09:55:00,1451531,2020-03-01 09:55:00,12,0,0,,0,
2020-03-01 10:00:00,1460171,2020-03-01 10:00:00,12,0,0,,0,
2020-03-01 10:05:00,1460172,2020-03-01 10:05:00,12,0,0,,0,
2020-03-01 10:10:00,1460173,2020-03-01 10:10:00,12,0,0,,0,
2020-03-01 10:15:00,1460174,2020-03-01 10:15:00,12,0,0,,0,
2020-03-01 10:20:00,1468814,2020-03-01 10:20:00,12,0,0,,0,
2020-03-01 10:25:00,1468815,2020-03-01 10:25:00,12,0,0,,0,
2020-03-01 10:30:00,1468816,2020-03-01 10:30:00,12,0,0,,0,
2020-03-01 10:35:00,1468817,2020-03-01 10:35:00,12,0,0,,0,
2020-03-01 10:40:00,1477457,2020-03-01 10:40:00,12,0,0,,0,
2020-03-01 10:45:00,1477458,2020-03-01 10:45:00,12,0,0,,0,
2020-03-01 10:50:00,1477459,2020-03-01 10:50:00,12,0,0,,0,
2020-03-01 10:55:00,1477460,2020-03-01 10:55:00,12,0,0,,0,
2020-03-01 11:00:00,1486100,2020-03-01 11:00:00,12,0,0,,0,
2020-03-01 11:05:00,1486101,2020-03-01 11:05:00,12,0,0,,0,
2020-03-01 11:10:00,1486102,2020-03-01 11:10:00,12,0,0,,0,
2020-03-01 11:15:00,1486103,2020-03-01 11:15:00,12,0,0,,0,
